apple https://gitee.com/jiaqianjing/product_img/blob/main/test_prodct/apple_01.jpeg
apple https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/apple_02.jpeg
apple https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/apple_03.jpeg
banana https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/banana_01.jpeg
banana https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/banana_02.jpeg
banana https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/banana_03.jpeg
orange https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/orange_01.jpeg
orange https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/orange_02.jpeg
orange https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/orange_03.jpeg
orange https://gitee.com/jiaqianjing/product_img/raw/main/test_prodct/orange_04.jpeg
